No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
1217,QGEN,QIAGEN N.V.,Healthcare,Diagnostics & Research,Netherlands,10.10B,-,43.57,0.88%,"853,473",-,-,-0.15,3.60%,232.21M,1.78%,10.10B,25.32,6.23%,0.00%,227.06M,-1.18%,-31.10M,-,0.40,80.20%,1.49%,8.36%,1.55B,6.52,-122.40%,8.00%,3.13,30.88%,10.73,4.06,-0.60%,38.91,9.14%,3.21,13.57,9.43%,-1.20%,25.04 - 44.41,28.91%,-,53.89,-18.80%,0.40%,-1.89%,0.30,-,1.40,2.60%,66.10%,74.00%,0.55,5096,1.60,6.70%,0.30%,56.59,0.85% 1.28%,Yes,0.69,35.70%,-2.00%,0.79,43.19,Yes,0.56,Aug 04 AMC,-,1.08M,43.57,2.80,1.29%,1.68%,14.81%,"853,473",0.88%
1218,QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,USA,4.15B,59.01,107.28,1.26%,"318,193",-,59.01,1.82,14.70%,39.11M,3.13%,4.15B,38.77,11.17%,-4.50%,33.68M,-0.68%,74.80M,7.38,0.64,93.70%,17.02%,19.96%,332.50M,12.49,22.60%,1.30%,8.99,28.19%,9.89,10.85,11.40%,105.31,22.24%,8.58,12.51,8.00%,19.70%,63.37 - 119.19,28.68%,-,29.13,15.60%,15.90%,-10.00%,1.02,-,1.80,19.20%,78.90%,69.29%,3.30,1289,1.80,14.60%,23.70%,56.68,2.46% 3.06%,Yes,0.00,43.30%,22.50%,0.50,105.95,Yes,0.00,May 07 AMC,0.00%,637.86K,107.28,2.60,3.72%,0.79%,18.78%,"318,193",1.26%
1219,QRTEA,"Qurate Retail, Inc.",Consumer Cyclical,Internet Retail,USA,3.86B,-,9.41,-1.21%,"1,721,938",-,-,-1.28,0.70%,416.00M,-0.95%,3.86B,4.43,25.59%,23.70%,379.30M,-2.18%,-531.00M,-,0.45,98.70%,4.40%,51.77%,13.29B,0.29,-164.50%,-2.61%,5.54,15.18%,11.95,0.79,-3.10%,11.83,-27.73%,1.35,6.95,15.50%,-10.60%,3.01 - 14.63,11.63%,-,3.90,-24.50%,3.20%,-35.66%,1.33,-,0.80,6.10%,33.70%,212.62%,0.45,25228,1.30,-5.30%,1.00%,54.89,3.12% 4.71%,Yes,1.42,-137.90%,-4.00%,0.57,9.52,Yes,1.24,May 06 AMC,-,3.01M,9.41,2.60,1.87%,9.98%,12.80%,"1,721,938",-1.21%
1220,QRVO,"Qorvo, Inc.",Technology,Semiconductors,USA,12.69B,40.21,113.03,0.01%,"874,622",S&P 500,40.21,2.81,0.50%,115.72M,2.26%,12.69B,16.09,26.41%,-22.61%,113.83M,-3.85%,334.30M,4.43,1.12,92.40%,2.75%,38.09%,3.24B,3.92,103.80%,-0.99%,2.03,1.62%,37.10,3.05,5.40%,119.26,62.33%,-,-,9.07%,7.80%,67.54 - 122.37,-2.75%,-,16.24,-2.50%,4.60%,-7.63%,1.44,-,2.20,13.60%,41.90%,67.35%,3.54,7900,3.10,15.70%,10.30%,56.50,2.18% 2.96%,Yes,0.37,-14.70%,10.30%,0.57,113.02,Yes,0.37,May 07 AMC,0.00%,1.54M,113.03,2.30,1.97%,7.26%,15.29%,"874,622",0.01%
1221,QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants,Canada,16.39B,23.73,54.93,0.60%,"849,431",-,23.73,2.32,3.22%,298.42M,0.55%,16.39B,18.43,10.40%,-1.11%,271.70M,-8.04%,-,1.24,0.56,81.81%,3.69%,39.74%,5.56B,2.95,28.60%,-,3.03,-13.35%,7.29,7.54,-,70.50,-22.03%,-,-,19.13%,-,25.08 - 79.46,-13.86%,2.08,-,40.67%,-,-30.87%,-,3.79%,-,-,-,119.02%,1.89,6300,-,-3.20%,-,50.21,2.53% 3.42%,Yes,-,6.70%,-,0.26,54.60,Yes,-,May 01 BMO,-,3.31M,54.93,2.30,-0.81%,2.09%,-6.03%,"849,431",0.60%
1222,QTS,"QTS Realty Trust, Inc.",Real Estate,REIT - Industrial,USA,4.01B,-,66.35,-0.17%,"405,094",-,-,-0.29,0.90%,60.27M,3.53%,4.01B,330.10,1910.00%,-38.74%,59.82M,4.82%,-15.90M,-,-0.02,-,23.38%,14.46%,494.40M,8.11,80.40%,10.93%,15.66,26.67%,16.39,4.05,-0.50%,70.92,43.49%,2.85,23.31,-,-1.70%,42.64 - 68.96,22.26%,1.88,26.61,-17.20%,2.50%,-3.79%,0.52,2.83%,-,17.20%,64.00%,55.61%,1.92,612,-,12.10%,9.40%,57.11,2.16% 2.96%,Yes,1.75,-105.40%,-3.20%,0.45,66.46,Yes,1.75,Jul 27 AMC,-,893.06K,66.35,2.10,3.68%,3.53%,16.41%,"405,094",-0.17%
1223,QTWO,"Q2 Holdings, Inc.",Technology,Software - Application,USA,4.86B,-,91.54,3.17%,"418,893",-,-,-1.80,1.70%,48.58M,6.70%,4.86B,352.08,1400.00%,-59.75%,47.06M,8.61%,-85.70M,-,-0.03,-,11.17%,53.15%,336.60M,14.44,-85.50%,3.48%,9.45,9.89%,7.43,12.32,-8.70%,96.33,15.73%,2.13,43.05,20.00%,-22.70%,47.17 - 93.90,12.90%,-,-,-18.00%,-6.70%,-2.51%,1.59,-,1.30,31.90%,47.00%,94.06%,3.06,1574,1.30,29.60%,-22.80%,66.32,3.31% 3.73%,Yes,1.19,-59.10%,-25.50%,0.75,88.73,Yes,1.19,May 06 AMC,-,555.99K,91.54,1.80,9.74%,11.53%,18.23%,"418,893",3.17%
1224,QURE,uniQure N.V.,Healthcare,Biotechnology,Netherlands,2.11B,-,46.82,2.36%,"267,521",-,-,-2.99,1.40%,44.28M,3.91%,2.11B,-,-45.90%,-26.17%,42.01M,-23.89%,-124.40M,-,-0.67,96.10%,10.68%,-7.25%,6.20M,339.52,-32.80%,2.26%,7.79,-35.83%,6.67,7.02,-31.40%,75.73,-35.99%,7.61,6.16,-,-45.20%,36.20 - 76.69,-34.66%,-,-,-1.30%,-33.70%,-38.95%,1.24,-,12.90,3.50%,-,29.34%,3.48,248,12.90,-90.90%,-,32.22,5.26% 5.67%,Yes,0.00,14.20%,-,0.46,45.74,Yes,0.12,-,-,575.55K,46.82,1.90,-18.33%,-22.04%,-16.97%,"267,521",2.36%
1225,R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,USA,2.07B,-,38.99,1.09%,"423,847",-,-,-3.03,1.40%,53.74M,3.95%,2.07B,17.13,205.60%,4.79%,53.24M,-9.89%,-158.30M,-,-1.21,90.00%,8.37%,42.66%,8.91B,0.23,-106.90%,-1.70%,5.08,-27.98%,42.90,0.91,-,41.20,-28.80%,7.48,5.21,-,-,22.62 - 60.55,-28.21%,2.24,-,-15.90%,2.50%,-35.61%,2.04,5.75%,0.80,6.10%,50.30%,72.37%,2.01,39900,0.80,-0.90%,-,54.61,4.49% 4.79%,Yes,3.64,-281.80%,-,0.48,38.57,Yes,3.26,Jul 29 BMO,-,877.18K,38.99,2.40,3.41%,9.70%,-8.71%,"423,847",1.09%
1226,RACE,Ferrari N.V.,Consumer Cyclical,Auto Manufacturers,Italy,32.50B,39.22,175.91,1.38%,"190,099",-,39.22,4.49,33.72%,184.75M,2.87%,32.50B,42.70,40.10%,0.00%,165.11M,1.92%,-,3.43,0.06,41.77%,1.10%,20.09%,-,-,-20.80%,-,7.19,6.47%,7.57,23.23,-,153.52,6.20%,-,-,11.45%,-,127.73 - 180.95,6.26%,1.23,-,26.18%,-,-2.79%,-,0.70%,-,-,-,37.72%,3.84,4392,-,-0.80%,-,61.18,1.74% 2.07%,Yes,-,-6.90%,-,0.76,173.51,Yes,-,May 04 BMO,-,251.78K,175.91,2.50,2.94%,6.48%,9.06%,"190,099",1.38%
1227,RAMP,"LiveRamp Holdings, Inc.",Technology,Information Technology Services,USA,2.85B,-,44.41,1.18%,"244,848",-,-,-1.84,3.60%,66.98M,4.57%,2.85B,187.38,204.30%,-0.28%,62.50M,-4.64%,-125.30M,-,-0.15,-,4.32%,44.89%,380.60M,7.49,-3.50%,-4.14%,3.53,-1.25%,16.24,2.73,-9.10%,52.64,-6.84%,11.18,3.97,21.50%,-10.60%,23.44 - 53.58,-7.61%,-,-,-40.00%,-12.90%,-17.12%,1.36,-,5.60,-13.90%,59.90%,89.46%,1.94,1150,5.60,35.00%,-47.60%,52.57,3.21% 4.42%,Yes,0.00,90.00%,-32.70%,0.32,43.89,Yes,0.00,May 21 AMC,-,765.28K,44.41,2.10,0.94%,4.73%,8.29%,"244,848",1.18%
1228,RARE,Ultragenyx Pharmaceutical Inc.,Healthcare,Biotechnology,USA,5.29B,-,90.00,2.41%,"394,243",-,-,-7.36,1.80%,58.00M,15.06%,5.29B,-,22.20%,-8.11%,56.15M,27.35%,-425.00M,-,-1.55,-,13.21%,77.48%,121.90M,43.40,-79.30%,3.55%,12.94,101.57%,10.50,8.57,-40.40%,82.00,56.82%,11.28,7.98,17.20%,-60.50%,31.99 - 90.98,110.72%,-,-,-25.90%,-65.40%,-1.08%,2.25,-,4.50,-,95.90%,181.34%,4.28,740,4.50,99.50%,-,72.11,5.24% 5.32%,Yes,0.00,-12.90%,-,0.69,87.88,Yes,0.00,May 06 AMC,-,572.97K,90.00,1.80,18.48%,26.42%,68.61%,"394,243",2.41%
1229,RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,Specialty Business Services,Canada,4.49B,29.52,41.24,0.56%,"407,824",-,29.52,1.40,14.30%,109.25M,0.95%,4.49B,26.22,26.35%,-1.21%,108.03M,-4.74%,153.70M,4.22,0.37,84.90%,0.79%,13.08%,1.29B,3.49,22.30%,0.87%,1.48,-4.67%,7.69,5.36,6.70%,45.75,22.67%,2.66,15.49,7.00%,18.00%,25.92 - 45.16,-3.98%,0.80,27.10,9.90%,11.60%,-8.68%,0.92,1.94%,1.10,22.30%,52.60%,59.10%,0.93,2400,1.20,-9.90%,17.40%,50.16,1.78% 2.34%,Yes,0.81,25.10%,11.90%,0.71,41.01,Yes,0.75,May 07 AMC,53.70%,575.58K,41.24,2.20,1.84%,-0.70%,1.15%,"407,824",0.56%
1230,RBC,Regal Beloit Corporation,Industrials,Specialty Industrial Machinery,USA,3.48B,18.26,87.25,1.90%,"173,809",-,18.26,4.78,0.60%,40.60M,-0.08%,3.48B,16.11,37.98%,0.00%,39.70M,-2.37%,198.80M,2.16,0.56,98.90%,1.75%,31.30%,3.12B,1.12,19.30%,1.62%,2.76,2.80%,55.93,1.56,4.40%,87.22,8.84%,15.21,5.74,8.45%,8.50%,51.99 - 90.65,1.92%,1.20,9.64,52.60%,8.30%,-3.75%,1.43,1.38%,2.00,-0.10%,26.90%,67.82%,2.80,19560,3.20,-14.00%,9.60%,57.85,2.51% 3.16%,Yes,0.60,-43.70%,6.40%,0.69,85.62,Yes,0.60,May 04 AMC,24.60%,251.21K,87.25,2.20,3.77%,10.24%,12.46%,"173,809",1.90%
1231,RBS,The Royal Bank of Scotland Group plc,Financial,Banks - Diversified,United Kingdom,17.62B,5.53,3.09,1.31%,"1,035,814",-,5.53,0.56,68.60%,6.04B,1.31%,17.62B,30.90,-,0.00%,2.30B,-15.80%,3.38B,-,-,0.60%,0.24%,10.36%,14.10B,1.25,92.50%,-5.22%,2.07,-48.95%,9.12,0.34,0.40%,-,-44.36%,83.33,0.04,-,6.10%,2.40 - 6.76,-49.98%,0.34,-,160.40%,4.60%,-54.31%,1.47,10.97%,-,-2.80%,-,28.85%,0.14,63200,-,-2.30%,57.90%,50.89,2.65% 3.46%,Yes,1.33,-59.30%,24.00%,0.38,3.05,Yes,1.33,May 15 BMO,7.10%,2.71M,3.09,-,-0.08%,4.24%,-29.51%,"1,035,814",1.31%
1232,RCEL,"AVITA Therapeutics, Inc.",Healthcare,Medical Devices,USA,12.80B,-,30.00,0.94%,"75,879",-,-,-,-,426.69M,-1.77%,12.80B,-,-,-,30.48M,-13.29%,-,-,-,11.23%,1.80%,2.39%,-,-,-,-,6.79,-31.11%,-,-,-,48.33,-1.48%,-,-,-,-,20.00 - 55.35,-34.07%,-,-,-,-,-45.80%,-,-,-,-,-,50.00%,1.58,87,-,434.10%,-,48.78,3.15% 4.97%,Yes,-,-,-,0.94,29.72,Yes,-,-,-,80.85K,30.00,1.30,-1.02%,-1.76%,-20.45%,"75,879",0.94%
1233,RCI,Rogers Communications Inc.,Communication Services,Telecom Services,Canada,19.82B,13.69,39.49,-1.69%,"1,261,222",-,13.69,2.89,0.80%,505.00M,-1.74%,19.82B,9.61,19.54%,0.00%,351.99M,-11.14%,1.48B,2.26,0.79,79.00%,0.58%,-12.15%,10.97B,1.81,-0.20%,-0.25%,3.39,-20.77%,14.87,2.66,5.40%,54.02,-26.64%,2.84,13.91,6.05%,21.10%,32.20 - 54.53,-20.50%,1.49,39.48,9.00%,9.70%,-27.58%,0.51,3.77%,1.00,3.20%,41.70%,22.64%,0.92,25300,1.10,-4.80%,23.70%,37.19,2.15% 2.10%,Yes,2.22,-8.20%,13.40%,2.10,40.17,Yes,1.95,Jul 22 BMO,86.50%,599.19K,39.49,2.10,-4.91%,-4.45%,-13.39%,"1,261,222",-1.69%
1234,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,USA,10.76B,58.98,50.07,5.28%,"12,239,889",S&P 500,58.98,0.85,0.90%,209.10M,-0.46%,10.76B,-,80.60%,-0.82%,170.84M,-33.35%,184.70M,-,-4.65,70.00%,14.62%,49.24%,10.54B,1.02,4.50%,-9.15%,1.12,-61.61%,48.93,1.02,0.60%,65.87,-54.98%,18.10,2.77,-,1.60%,19.25 - 135.32,-62.50%,3.12,-,21.20%,9.10%,-63.00%,2.50,6.23%,0.50,6.30%,42.50%,160.10%,5.25,85300,0.50,-16.70%,4.30%,47.83,7.95% 9.09%,Yes,1.54,-680.70%,1.80%,0.55,47.56,Yes,1.18,May 20 BMO,350.00%,22.34M,50.07,2.40,-8.39%,1.09%,-40.86%,"12,239,889",5.28%
1235,RDFN,Redfin Corporation,Real Estate,Real Estate Services,USA,4.08B,-,41.69,3.22%,"1,129,834",-,-,-0.80,2.70%,93.44M,-0.52%,4.08B,-,30.40%,-13.27%,92.93M,19.28%,-73.70M,-,-0.24,99.90%,11.06%,151.90%,860.60M,4.74,-80.10%,3.91%,6.77,94.18%,3.00,13.90,-12.40%,31.69,132.00%,2.95,14.13,5.00%,-23.60%,9.63 - 43.90,97.21%,-,-,11.00%,-,-5.03%,-,-,2.80,44.10%,17.90%,332.92%,2.08,3377,3.40,73.50%,-8.00%,67.25,4.25% 5.81%,Yes,0.62,13.20%,-8.60%,0.74,40.39,Yes,0.43,May 07 AMC,-,1.52M,41.69,2.40,10.68%,35.72%,80.70%,"1,129,834",3.22%
1236,RDN,Radian Group Inc.,Financial,Insurance - Specialty,USA,2.66B,4.57,14.06,1.59%,"1,345,441",-,4.57,3.08,0.30%,200.16M,-9.35%,2.66B,5.41,42.12%,-1.29%,189.43M,-26.85%,641.80M,1.94,0.21,97.20%,2.67%,6.19%,1.49B,1.78,15.30%,-3.28%,2.24,-42.61%,19.31,0.73,9.60%,21.68,-40.60%,0.29,49.12,2.35%,16.40%,9.53 - 26.32,-44.12%,0.50,4.58,-9.90%,14.40%,-46.57%,1.69,3.56%,-,7.30%,-,47.53%,0.96,2000,-,-9.50%,58.10%,40.67,5.90% 5.53%,Yes,0.27,-11.10%,43.00%,0.60,13.84,Yes,0.27,May 06 AMC,4.20%,2.26M,14.06,1.90,-9.81%,-9.16%,-31.44%,"1,345,441",1.59%
1237,RDS-A,Royal Dutch Shell plc,Energy,Oil & Gas Integrated,Netherlands,123.80B,13.49,32.75,0.37%,"3,947,280",-,13.49,2.43,0.20%,3.91B,0.18%,123.80B,16.71,151.28%,0.00%,3.89B,-16.65%,9.82B,1.93,-0.16,9.10%,0.28%,-12.10%,321.17B,0.39,-30.20%,-3.68%,1.63,-45.78%,45.94,0.71,2.40%,43.70,-49.18%,5.77,5.68,7.00%,5.30%,21.25 - 65.62,-44.47%,1.28,10.79,-3.70%,5.50%,-50.09%,0.82,3.91%,0.90,-3.90%,18.30%,54.08%,1.17,83000,1.10,-28.30%,4.70%,44.45,2.07% 2.83%,Yes,0.53,-100.40%,3.10%,0.59,32.63,Yes,0.44,Jul 30 BMO,128.50%,6.72M,32.75,2.40,-3.69%,-2.75%,-29.83%,"3,947,280",0.37%
1238,RDS-B,Royal Dutch Shell plc,Energy,Oil & Gas Integrated,Netherlands,114.38B,12.63,30.90,0.78%,"3,014,929",-,12.63,2.45,0.02%,3.70B,1.48%,114.38B,15.45,85.20%,0.00%,-,-17.93%,-,1.60,-0.15,11.45%,-,-13.32%,321.17B,0.36,-47.10%,-,0.16,-49.77%,45.94,0.67,-,43.50,-52.42%,-,-,7.90%,-,19.19 - 66.02,-48.47%,1.28,-,-,-,-53.20%,-,4.14%,-,-,-,61.02%,1.15,83000,-,-28.30%,-,44.99,2.19% 2.81%,Yes,-,-,-,0.57,30.66,Yes,-,Apr 30 BMO,-,5.34M,30.90,2.20,-3.69%,-3.19%,-33.32%,"3,014,929",0.78%
1239,RDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,India,8.49B,33.61,52.26,1.57%,"107,897",-,33.61,1.56,27.70%,165.79M,-1.41%,8.49B,25.78,1.55%,0.00%,165.67M,-0.10%,258.30M,2.65,0.52,13.70%,0.87%,17.20%,2.31B,3.67,3.80%,0.72%,6.35,29.77%,12.39,4.22,8.60%,42.25,38.22%,2.10,24.88,12.70%,12.90%,33.33 - 55.19,28.78%,0.33,25.62,-2.00%,9.90%,-5.31%,0.47,0.63%,1.30,3.30%,53.80%,56.80%,1.25,21650,1.80,10.30%,9.20%,47.24,1.62% 2.04%,Yes,0.14,76.00%,11.20%,0.47,51.45,Yes,0.01,May 20 BMO,-,227.51K,52.26,4.00,-1.57%,0.44%,18.81%,"107,897",1.57%
1240,RE,"Everest Re Group, Ltd.",Financial,Insurance - Reinsurance,Bermuda,8.29B,12.40,204.41,0.34%,"311,922",S&P 500,12.40,16.49,1.30%,40.20M,-0.87%,8.29B,8.88,68.19%,-5.26%,29.56M,-11.54%,663.80M,-,1.72,99.60%,2.51%,6.88%,8.27B,1.00,-35.80%,-1.58%,1.64,-25.44%,213.44,0.96,-,232.50,-20.58%,20.15,10.14,-3.16%,-,157.32 - 294.31,-26.16%,6.20,-,-1.00%,10.70%,-30.55%,0.46,3.03%,-,7.20%,-,29.93%,7.14,1603,-,0.70%,-,49.60,2.34% 3.16%,Yes,0.08,-95.30%,-,0.69,203.72,Yes,0.07,Aug 05 AMC,-,452.51K,204.41,2.40,-3.20%,3.58%,-14.21%,"311,922",0.34%
1241,REG,Regency Centers Corporation,Real Estate,REIT - Retail,USA,7.43B,58.89,43.40,-1.56%,"1,198,648",S&P 500,58.89,0.74,1.20%,167.91M,-5.43%,7.43B,31.86,37.44%,-2.33%,167.85M,-19.18%,123.70M,6.47,0.27,-,2.32%,18.03%,1.13B,6.57,-2.60%,-1.49%,2.52,-29.64%,36.92,1.18,1.10%,50.70,-37.47%,4.28,10.14,9.10%,2.00%,31.80 - 70.13,-31.21%,2.38,35.82,-4.50%,3.00%,-38.11%,0.95,5.48%,-,16.10%,72.60%,36.48%,2.42,450,-,-0.90%,17.00%,43.26,4.03% 4.75%,Yes,0.71,-128.00%,10.90%,0.78,44.09,Yes,0.71,Aug 03 AMC,318.30%,1.54M,43.40,2.10,-6.23%,-1.45%,-21.73%,"1,198,648",-1.56%
1242,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,64.16B,32.17,640.34,-0.08%,"651,871",S&P 500,32.17,19.90,1.10%,109.80M,2.68%,64.16B,20.21,17.68%,-42.43%,87.32M,6.01%,2.28B,3.81,6.10,76.80%,2.83%,27.68%,7.98B,8.04,-10.80%,2.20%,1.78,71.61%,110.50,5.79,15.80%,616.96,107.92%,39.95,16.03,8.44%,21.00%,271.37 - 653.53,70.54%,-,37.62,44.00%,16.10%,-2.02%,0.56,-,3.70,22.80%,89.70%,135.97%,22.23,8100,4.20,33.20%,30.50%,60.48,3.39% 3.48%,Yes,0.06,35.90%,28.60%,0.47,640.88,Yes,0.06,May 05 BMO,0.00%,1.39M,640.34,2.10,4.50%,9.37%,46.59%,"651,871",-0.08%
1243,RELX,RELX PLC,Communication Services,Publishing,United Kingdom,44.77B,24.38,23.38,0.69%,"589,986",-,24.38,0.96,4.50%,1.94B,-0.76%,44.77B,20.51,8.37%,0.00%,1.92B,-3.71%,1.88B,3.43,-,3.70%,0.03%,10.49%,9.82B,4.56,8.80%,5.71%,0.70,-6.07%,1.40,16.70,10.90%,27.30,-4.96%,0.09,260.11,7.10%,68.10%,16.81 - 27.25,-7.48%,0.57,29.92,12.50%,21.20%,-14.22%,0.60,2.44%,0.40,6.40%,65.00%,39.08%,0.46,33200,0.40,9.60%,27.30%,47.98,1.05% 1.72%,No,2.96,21.70%,19.10%,0.72,23.22,Yes,2.01,-,44.40%,815.47K,23.38,1.00,-0.75%,0.53%,-1.24%,"589,986",0.69%
1244,RETA,"Reata Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,5.12B,-,158.00,1.52%,"266,405",-,-,-9.84,0.20%,33.22M,1.27%,5.12B,-,-12.20%,-5.81%,26.71M,15.33%,-310.00M,-,-2.76,81.20%,13.37%,17.34%,20.10M,254.77,-228.10%,1.35%,9.84,-26.28%,6.88,22.97,-65.00%,272.89,77.53%,19.27,8.20,-,-322.40%,70.00 - 257.96,-22.71%,-,-,-,-45.40%,-38.75%,2.03,-,3.20,-12.60%,-,125.71%,8.85,220,3.20,-82.10%,-,49.88,3.46% 5.58%,Yes,1.64,-50.70%,-,0.73,155.64,Yes,0.98,May 11 AMC,-,362.95K,158.00,1.30,-1.08%,1.70%,-8.35%,"266,405",1.52%
1245,REXR,"Rexford Industrial Realty, Inc.",Real Estate,REIT - Industrial,USA,5.19B,87.92,42.29,0.00%,"996,200",-,87.92,0.48,0.20%,122.69M,2.08%,5.19B,120.48,1.45%,-49.26%,115.83M,-0.12%,53.30M,8.79,0.09,95.20%,2.13%,10.94%,284.50M,18.26,14.20%,1.73%,1.92,-6.60%,20.79,2.03,1.50%,44.50,0.81%,0.92,46.22,10.00%,2.40%,31.79 - 53.48,-7.40%,0.86,54.91,71.50%,2.40%,-20.92%,0.67,2.03%,-,32.00%,76.30%,33.04%,1.34,123,-,28.60%,28.20%,54.35,2.23% 3.17%,Yes,0.38,16.60%,18.70%,0.77,42.29,Yes,0.38,May 04 AMC,153.20%,1.29M,42.29,2.10,1.90%,4.34%,-4.13%,"996,200",0.00%
1246,REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,Packaging & Containers,USA,7.13B,30.27,34.56,-2.00%,"642,817",-,30.27,1.14,74.10%,206.15M,-0.50%,7.13B,17.79,2.75%,0.00%,54.25M,6.58%,229.00M,3.80,0.51,25.30%,1.03%,15.22%,3.10B,2.30,27.80%,-,0.82,-,-5.13,-,-,37.13,-,0.49,69.86,7.97%,-,21.61 - 36.00,21.07%,0.60,-,90.40%,12.70%,-3.99%,-,1.74%,0.40,1.00%,28.90%,59.95%,1.29,5100,1.50,-7.90%,17.30%,54.40,3.75% 3.92%,Yes,-,7.10%,7.10%,0.94,35.27,Yes,-,May 07 BMO,0.00%,680.64K,34.56,2.00,2.57%,2.80%,10.70%,"642,817",-2.00%
1247,RF,Regions Financial Corporation,Financial,Banks - Regional,USA,9.95B,8.07,10.34,0.10%,"9,498,562",S&P 500,8.07,1.28,0.20%,957.00M,-7.01%,9.95B,8.21,84.48%,0.79%,955.64M,-25.29%,1.26B,-,0.07,76.20%,2.50%,10.12%,4.54B,2.19,13.00%,2.31%,1.95,-36.76%,16.74,0.62,1.00%,12.61,-32.46%,7.45,1.39,-,8.20%,6.94 - 17.54,-39.74%,0.62,4.92,14.00%,14.70%,-41.05%,1.71,6.00%,-,5.30%,-,48.99%,0.64,19564,-,-7.90%,68.10%,40.41,4.83% 5.27%,Yes,0.34,-60.70%,27.90%,0.78,10.33,Yes,0.34,Jul 17 BMO,45.90%,12.23M,10.34,2.30,-11.20%,-6.63%,-24.71%,"9,498,562",0.10%
1248,RGA,"Reinsurance Group of America, Incorporated",Financial,Insurance - Reinsurance,USA,4.90B,7.53,72.17,1.05%,"793,424",-,7.53,9.59,0.50%,63.00M,-7.99%,4.90B,5.67,99.48%,-0.28%,61.30M,-29.93%,612.50M,0.97,-0.37,88.00%,3.69%,-26.91%,14.14B,0.35,35.60%,-0.12%,2.65,-54.65%,147.63,0.49,0.80%,101.67,-54.47%,41.57,1.74,7.76%,5.70%,55.39 - 169.26,-55.74%,2.80,1.23,6.90%,7.10%,-57.36%,1.12,3.88%,-,5.60%,-,30.29%,4.70,3188,-,-5.60%,7.20%,34.84,5.51% 5.13%,Yes,0.38,-152.80%,4.30%,0.93,71.42,Yes,0.38,May 05 AMC,27.60%,851.60K,72.17,2.70,-11.88%,-19.20%,-43.77%,"793,424",1.05%
1249,RGEN,Repligen Corporation,Healthcare,Medical Instruments & Supplies,USA,6.43B,278.40,125.28,0.92%,"397,275",-,278.40,0.45,0.80%,52.14M,1.35%,6.43B,95.20,16.77%,-33.16%,48.48M,7.30%,23.20M,11.36,0.27,90.10%,3.68%,29.62%,285.70M,22.49,19.10%,7.55%,2.64,31.87%,20.52,6.11,1.80%,141.17,46.42%,10.32,12.14,24.50%,2.30%,72.32 - 143.93,35.44%,-,138.19,12.10%,2.00%,-12.96%,1.08,-,14.10,33.60%,56.50%,73.23%,4.80,761,15.60,25.60%,10.90%,56.50,3.05% 3.97%,Yes,0.00,6.20%,8.10%,0.59,124.14,Yes,0.22,May 06 BMO,0.00%,676.81K,125.28,1.60,5.69%,1.65%,26.39%,"397,275",0.92%
1250,RGLD,"Royal Gold, Inc.",Basic Materials,Gold,USA,8.47B,47.03,126.75,1.51%,"532,836",-,47.03,2.70,0.20%,65.51M,1.95%,8.47B,39.82,25.61%,-3.63%,65.30M,3.70%,176.80M,1.77,0.54,82.70%,1.79%,34.97%,494.50M,17.14,213.40%,-0.55%,1.77,5.47%,34.20,3.71,6.90%,131.92,18.65%,1.40,90.44,26.60%,8.10%,59.78 - 139.63,3.68%,1.12,59.22,8.30%,5.20%,-9.22%,0.82,0.88%,2.80,12.30%,81.60%,112.03%,4.41,23,3.00,24.20%,39.40%,55.58,3.07% 3.74%,Yes,0.04,33.80%,35.70%,0.81,124.87,Yes,0.04,May 06 AMC,39.80%,660.58K,126.75,2.80,5.47%,0.38%,10.38%,"532,836",1.51%
